id,val_1,val_2,val_3,id_node,type,index,id_parent
1,20,0,0,1,1,0,1
2,7,15789,0,1,2,1,1
3,4,0,0,2,3,0,2
5,71,5263,0,3,2,0,3
43,4,0,0,15,3,0,15
44,4,0,0,15,1,1,15
45,32,3506,0,17,2,0,17
46,36,3506,0,18,2,0,18
47,32,3506,0,19,2,0,19
48,36,3506,0,19,2,1,19
49,32,3997,0,20,2,0,20
50,36,2664,0,20,2,1,20
51,32,3761,0,21,2,0,21
52,36,3076,0,21,2,1,21
53,32,3951,0,22,2,0,22
54,36,2745,0,22,2,1,22
55,32,3905,0,23,2,0,23
56,36,2827,0,23,2,1,23
57,32,3858,0,24,2,0,24
58,36,2909,0,24,2,1,24
59,32,3810,0,25,2,0,25
60,36,2992,0,25,2,1,25
61,32,3711,0,26,2,0,26
62,36,3161,0,26,2,1,26
63,32,3661,0,27,2,0,27
64,36,3246,0,27,2,1,27
65,32,3610,0,28,2,0,28
66,36,3332,0,28,2,1,28
67,32,3559,0,29,2,0,29
68,36,3418,0,29,2,1,29
69,32,3418,0,30,2,0,30
70,36,3559,0,30,2,1,30
71,32,3332,0,31,2,0,31
72,36,3610,0,31,2,1,31
73,32,3246,0,32,2,0,32
74,36,3661,0,32,2,1,32
75,32,3161,0,33,2,0,33
76,36,3711,0,33,2,1,33
77,32,3076,0,34,2,0,34
78,36,3761,0,34,2,1,34
79,32,2992,0,35,2,0,35
80,36,3810,0,35,2,1,35
81,32,2909,0,36,2,0,36
82,36,3858,0,36,2,1,36
83,32,2827,0,37,2,0,37
84,36,3905,0,37,2,1,37
85,32,2745,0,38,2,0,38
86,36,3951,0,38,2,1,38
87,32,2664,0,39,2,0,39
88,36,3997,0,39,2,1,39
89,63,3000,0,40,2,0,40
90,62,3000,0,41,2,0,41
91,61,3000,0,42,2,0,42
92,64,3000,0,43,2,0,43
93,1,0,0,44,1,0,44
94,32,2664,0,45,2,0,45
95,49,3997,0,45,2,1,45
96,32,2745,0,46,2,0,46
97,49,3951,0,46,2,1,46
98,32,2827,0,47,2,0,47
99,49,3905,0,47,2,1,47
100,32,2909,0,48,2,0,48
101,49,3858,0,48,2,1,48
102,32,2992,0,49,2,0,49
103,49,3810,0,49,2,1,49
104,32,3076,0,50,2,0,50
105,49,3761,0,50,2,1,50
106,32,3161,0,51,2,0,51
107,49,3711,0,51,2,1,51
108,32,3246,0,52,2,0,52
109,49,3661,0,52,2,1,52
110,32,3332,0,53,2,0,53
111,49,3610,0,53,2,1,53
112,32,3418,0,54,2,0,54
113,49,3559,0,54,2,1,54
114,32,3506,0,55,2,0,55
115,49,3506,0,55,2,1,55
116,32,3559,0,56,2,0,56
117,49,3418,0,56,2,1,56
118,32,3610,0,57,2,0,57
119,49,3332,0,57,2,1,57
120,32,3661,0,58,2,0,58
121,49,3246,0,58,2,1,58
122,32,3711,0,59,2,0,59
123,49,3161,0,59,2,1,59
124,32,3761,0,60,2,0,60
125,49,3076,0,60,2,1,60
126,32,3810,0,61,2,0,61
127,49,2992,0,61,2,1,61
128,32,3858,0,62,2,0,62
129,49,2909,0,62,2,1,62
130,32,3905,0,63,2,0,63
131,49,2827,0,63,2,1,63
132,32,3951,0,64,2,0,64
133,49,2745,0,64,2,1,64
134,32,3997,0,65,2,0,65
135,49,2664,0,65,2,1,65
136,32,2664,0,66,2,0,66
137,49,3997,0,66,2,1,66
138,32,2745,0,67,2,0,67
139,49,3951,0,67,2,1,67
140,32,2827,0,68,2,0,68
141,49,3905,0,68,2,1,68
142,32,2909,0,69,2,0,69
143,49,3858,0,69,2,1,69
144,32,2992,0,70,2,0,70
145,49,3810,0,70,2,1,70
146,32,3076,0,71,2,0,71
147,49,3761,0,71,2,1,71
148,32,3161,0,72,2,0,72
149,49,3711,0,72,2,1,72
150,32,3246,0,73,2,0,73
151,49,3661,0,73,2,1,73
152,32,3332,0,74,2,0,74
153,49,3610,0,74,2,1,74
154,32,3418,0,75,2,0,75
155,49,3559,0,75,2,1,75
156,32,3506,0,76,2,0,76
157,49,3506,0,76,2,1,76
158,32,3559,0,77,2,0,77
159,49,3418,0,77,2,1,77
160,32,3610,0,78,2,0,78
161,49,3332,0,78,2,1,78
162,32,3661,0,79,2,0,79
163,49,3246,0,79,2,1,79
164,32,3711,0,80,2,0,80
165,49,3161,0,80,2,1,80
