id,ilevel,v_1,v_2,v_3,v_4,v_5,v_6,v_7
1,1,0.260352,0.418733,0.433920,0.433920,0.433920,0.433920,0.433920
2,2,0.303744,0.488522,0.506240,0.506240,0.506240,0.506240,0.506240
3,3,0.347136,0.558310,0.578560,0.578560,0.578560,0.578560,0.578560
4,4,0.390528,0.628099,0.650880,0.650880,0.650880,0.650880,0.650880
5,5,0.433920,0.697888,0.723200,0.723200,0.723200,0.723200,0.723200
6,6,0.520704,0.837466,0.867840,0.867840,0.867840,0.867840,0.867840
7,7,0.607488,0.977043,1.012480,1.012480,1.012480,1.012480,1.012480
8,8,0.694272,1.116621,1.157120,1.157120,1.157120,1.157120,1.157120
9,9,0.781056,1.256199,1.301760,1.301760,1.301760,1.301760,1.301760
10,10,0.867840,1.395776,1.446400,1.446400,1.446400,1.446400,1.446400
11,11,0.954624,1.535354,1.591040,1.591040,1.591040,1.591040,1.591040
12,12,1.041408,1.674931,1.735680,1.735680,1.735680,1.735680,1.735680
13,13,1.128192,1.814509,1.880320,1.880320,1.880320,1.880320,1.880320
14,14,1.214976,1.954087,2.024960,2.024960,2.024960,2.024960,2.024960
15,15,1.301760,2.093664,2.169600,2.169600,2.169600,2.169600,2.169600
16,16,1.388544,2.233242,2.314240,2.314240,2.314240,2.314240,2.314240
17,17,1.475328,2.372819,2.458880,2.458880,2.458880,2.458880,2.458880
18,18,1.562112,2.512397,2.603520,2.603520,2.603520,2.603520,2.603520
19,19,1.648896,2.651975,2.748160,2.748160,2.748160,2.748160,2.748160
20,20,1.735680,2.791552,2.892800,2.892800,2.892800,2.892800,2.892800
21,21,1.822464,2.931130,3.037440,3.037440,3.037440,3.037440,3.037440
22,22,1.909248,3.070707,3.182080,3.182080,3.182080,3.182080,3.182080
23,23,1.996032,3.210285,3.326720,3.326720,3.326720,3.326720,3.326720
24,24,2.082816,3.349863,3.471360,3.471360,3.471360,3.471360,3.471360
25,25,2.169600,3.489440,3.616000,3.616000,3.616000,3.616000,3.616000
26,26,2.256384,3.629018,3.760640,3.760640,3.760640,3.760640,3.760640
27,27,2.343168,3.768595,3.905280,3.905280,3.905280,3.905280,3.905280
28,28,2.429952,3.908173,4.049920,4.049920,4.049920,4.049920,4.049920
29,29,2.516736,4.047750,4.194560,4.194560,4.194560,4.194560,4.194560
30,30,2.603520,4.187328,4.339200,4.339200,4.339200,4.339200,4.339200
31,31,2.690304,4.326906,4.483840,4.483840,4.483840,4.483840,4.483840
32,32,2.777088,4.466484,4.628480,4.628480,4.628480,4.628480,4.628480
33,33,2.863872,4.606061,4.773120,4.773120,4.773120,4.773120,4.773120
34,34,2.950656,4.745639,4.917760,4.917760,4.917760,4.917760,4.917760
35,35,3.037440,4.885216,5.062400,5.062400,5.062400,5.062400,5.062400
36,36,3.124224,5.024794,5.207040,5.207040,5.207040,5.207040,5.207040
37,37,3.211008,5.164371,5.351680,5.351680,5.351680,5.351680,5.351680
38,38,3.297792,5.303949,5.496320,5.496320,5.496320,5.496320,5.496320
39,39,3.384576,5.443527,5.640960,5.640960,5.640960,5.640960,5.640960
40,40,3.471360,5.583104,5.785600,5.785600,5.785600,5.785600,5.785600
41,41,3.558144,5.722682,5.930240,5.930240,5.930240,5.930240,5.930240
42,42,3.644928,5.862259,6.074881,6.074881,6.074881,6.074881,6.074881
43,43,3.731712,6.001837,6.219521,6.219521,6.219521,6.219521,6.219521
44,44,3.818496,6.141415,6.364161,6.364161,6.364161,6.364161,6.364161
45,45,3.905280,6.280993,6.508801,6.508801,6.508801,6.508801,6.508801
46,46,3.998631,6.431131,6.664385,6.664385,6.664385,6.664385,6.664385
47,47,4.094111,6.584696,6.823519,6.823519,6.823519,6.823519,6.823519
48,48,4.191770,6.741763,6.986282,6.986282,6.986282,6.986282,6.986282
49,49,4.291653,6.902408,7.152754,7.152754,7.152754,7.152754,7.152754
50,50,4.393810,7.066711,7.323017,7.323017,7.323017,7.323017,7.323017
51,51,4.498292,7.234754,7.497154,7.497154,7.497154,7.497154,7.497154
52,52,4.605151,7.406618,7.675251,7.675251,7.675251,7.675251,7.675251
53,53,4.714438,7.582387,7.857396,7.857396,7.857396,7.857396,7.857396
54,54,4.826207,7.762149,8.043677,8.043677,8.043677,8.043677,8.043677
55,55,4.940512,7.945990,8.234186,8.234186,8.234186,8.234186,8.234186
56,56,5.033441,8.095451,8.389069,8.389069,8.389069,8.389069,8.389069
57,57,5.128119,8.247724,8.546865,8.546865,8.546865,8.546865,8.546865
58,58,5.224576,8.402861,8.707627,8.707627,8.707627,8.707627,8.707627
59,59,5.322849,8.560915,8.871415,8.871415,8.871415,8.871415,8.871415
60,60,5.422970,8.721943,9.038283,9.038283,9.038283,9.038283,9.038283
61,61,5.473734,8.803589,9.122890,9.122890,9.122890,9.122890,9.122890
62,62,5.524974,8.886000,9.208290,9.208290,9.208290,9.208290,9.208290
63,63,5.576693,8.969182,9.294489,9.294489,9.294489,9.294489,9.294489
64,64,5.628897,9.053143,9.381495,9.381495,9.381495,9.381495,9.381495
65,65,5.681589,9.137889,9.469315,9.469315,9.469315,9.469315,9.469315
66,66,5.734774,9.223429,9.557957,9.557957,9.557957,9.557957,9.557957
67,67,5.788457,9.309769,9.647429,9.647429,9.647429,9.647429,9.647429
68,68,5.842643,9.396917,9.737739,9.737739,9.737739,9.737739,9.737739
69,69,5.897336,9.484882,9.828894,9.828894,9.828894,9.828894,9.828894
70,70,5.952541,9.573670,9.920902,9.920902,9.920902,9.920902,9.920902
71,71,6.008263,9.663290,10.013772,10.013772,10.013772,10.013772,10.013772
72,72,6.064507,9.753748,10.107511,10.107511,10.107511,10.107511,10.107511
73,73,6.121276,9.845053,10.202127,10.202127,10.202127,10.202127,10.202127
74,74,6.178577,9.937212,10.297629,10.297629,10.297629,10.297629,10.297629
75,75,6.236415,10.030234,10.394026,10.394026,10.394026,10.394026,10.394026
76,76,6.294795,10.124127,10.491323,10.491323,10.491323,10.491323,10.491323
77,77,6.353720,10.218900,10.589533,10.589533,10.589533,10.589533,10.589533
78,78,6.413197,10.314559,10.688662,10.688662,10.688662,10.688662,10.688662
79,79,6.473231,10.411114,10.788718,10.788718,10.788718,10.788718,10.788718
80,80,6.533827,10.508572,10.889711,10.889711,10.889711,10.889711,10.889711
81,81,6.594990,10.606943,10.991651,10.991651,10.991651,10.991651,10.991651
82,82,6.656726,10.706234,11.094543,11.094543,11.094543,11.094543,11.094543
83,83,6.719039,10.806456,11.198400,11.198400,11.198400,11.198400,11.198400
84,84,6.781937,10.907615,11.303227,11.303227,11.303227,11.303227,11.303227
85,85,6.845422,11.009721,11.409038,11.409038,11.409038,11.409038,11.409038
86,86,6.909503,11.112783,11.515838,11.515838,11.515838,11.515838,11.515838
87,87,6.974182,11.216810,11.623637,11.623637,11.623637,11.623637,11.623637
88,88,7.039468,11.321811,11.732446,11.732446,11.732446,11.732446,11.732446
89,89,7.105364,11.427794,11.842274,11.842274,11.842274,11.842274,11.842274
90,90,7.171877,11.534770,11.953129,11.953129,11.953129,11.953129,11.953129
91,91,7.239014,11.642747,12.065022,12.065022,12.065022,12.065022,12.065022
92,92,7.306778,11.751735,12.177963,12.177963,12.177963,12.177963,12.177963
93,93,7.375177,11.861743,12.291962,12.291962,12.291962,12.291962,12.291962
94,94,7.444216,11.972780,12.407026,12.407026,12.407026,12.407026,12.407026
95,95,7.513901,12.084858,12.523169,12.523169,12.523169,12.523169,12.523169
96,96,7.584239,12.197984,12.640398,12.640398,12.640398,12.640398,12.640398
97,97,7.655235,12.312169,12.758725,12.758725,12.758725,12.758725,12.758725
98,98,7.726896,12.427423,12.878160,12.878160,12.878160,12.878160,12.878160
99,99,7.799227,12.543757,12.998712,12.998712,12.998712,12.998712,12.998712
100,100,7.872236,12.661180,13.120393,13.120393,13.120393,13.120393,13.120393
101,101,7.945928,12.779700,13.243213,13.243213,13.243213,13.243213,13.243213
102,102,8.020309,12.899331,13.367183,13.367183,13.367183,13.367183,13.367183
103,103,8.095387,13.020082,13.492313,13.492313,13.492313,13.492313,13.492313
104,104,8.171168,13.141963,13.618614,13.618614,13.618614,13.618614,13.618614
105,105,8.247659,13.264985,13.746099,13.746099,13.746099,13.746099,13.746099
106,106,8.324865,13.389159,13.874776,13.874776,13.874776,13.874776,13.874776
107,107,8.402795,13.514495,14.004658,14.004658,14.004658,14.004658,14.004658
108,108,8.481453,13.641004,14.135756,14.135756,14.135756,14.135756,14.135756
109,109,8.560848,13.768698,14.268081,14.268081,14.268081,14.268081,14.268081
110,110,8.640986,13.897587,14.401644,14.401644,14.401644,14.401644,14.401644
111,111,8.721874,14.027681,14.536458,14.536458,14.536458,14.536458,14.536458
112,112,8.803520,14.158995,14.672534,14.672534,14.672534,14.672534,14.672534
113,113,8.885930,14.291537,14.809883,14.809883,14.809883,14.809883,14.809883
114,114,8.969111,14.425321,14.948519,14.948519,14.948519,14.948519,14.948519
115,115,9.053071,14.560356,15.088451,15.088451,15.088451,15.088451,15.088451
