id,desc,pad2,pad1,pad0,name,dmg_range,item_damage_modifier,stat_socket_mul_1,stat_socket_mul_2,stat_socket_mul_3,stat_socket_mul_4,stat_socket_mul_5,stat_socket_mul_6,stat_socket_mul_7,stat_socket_mul_8,stat_socket_mul_9,stat_socket_mul_10,stat_alloc_1,stat_alloc_2,stat_alloc_3,stat_alloc_4,stat_alloc_5,stat_alloc_6,stat_alloc_7,stat_alloc_8,stat_alloc_9,stat_alloc_10,flags_1,flags_2,flags_3,flags_4,faction_conv_id,gem_props,socket_bonus,rand_suffix,rand_prop,delay,scale_stat_dist,ilevel,class_mask,damage_type,stat_type_1,stat_type_2,stat_type_3,stat_type_4,stat_type_5,stat_type_6,stat_type_7,stat_type_8,stat_type_9,stat_type_10,inv_type,quality
49040,,,,,Jeeves,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,64,8192,0,0,0,0,0,0,0,0,0,200,65535,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4
128282,Teaches you how to summon this mount.,,,,Warmongering Gladiator's Felblood Gronnling,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,710,65535,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4
131736,,,,,Prizerock Neckband,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,3295,3295,3295,3295,0,0,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,168,65535,0,7,36,49,32,40,-1,-1,-1,-1,-1,2,4
132357,"Corrupted by the demonlord Sargeras, Medivh contacted the orc warlock Gul'dan and together they opened the Dark Portal, allowing the Burning Legion to begin its invasion of Azeroth.",,,,Pillars of the Dark Portal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,2400,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,49,36,-1,-1,-1,-1,-1,7,5
132365,"For his misdeeds, Bryndaor was charged with guarding the gates of Helheim for eternity.",,,,Shackles of Bryndaor,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,32,49,-1,-1,-1,-1,-1,-1,9,5
132366,"Following the Battle for Light's Hope Chapel, the two comrades parted ways. Thassarian opted to serve his king, while Koltira, former defender of Quel'Thalas, chose to join his people, the blood elves.",,,,Koltira's Newfound Will,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,2500,4500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,32,36,-1,-1,-1,-1,-1,-1,6,5
132367,"After his demise, Gorefiend returned as the first death knight and swore allegiance to Orgrim Doomhammer.",,,,Service of Gorefiend,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,6000,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,49,40,62,-1,-1,-1,-1,-1,6,5
132369,Left at home on a crucial day during the Argent Tournament.,,,,Wilfred's Sigil of Superior Summoning,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,10000,7500,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,36,49,-1,-1,-1,-1,-1,-1,-1,11,5
132374,"As the Doom Lord crossed through the Dark Portal to Outland, he left his enemies with a parting gift...",,,,Kazzak's Final Curse,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,3000,4000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,36,49,-1,-1,-1,-1,-1,-1,6,5
132375,Found pristine under burnt rubble in the village of Ymirheim.,,,,"Odr, Shawl of the Ymirjar",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,36,-1,-1,-1,-1,-1,-1,16,5
132376,"For you do not face me alone, but the host of the Ebon Blade itself. We are undying, we are unceasing, and we hunger for life!",,,,Acherus Drapes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,5000,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,4,32,36,49,-1,-1,-1,-1,-1,16,5
132378,Misery... confusion... mistrust. These are the hallmarks.,,,,Sacrolash's Dark Strike,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,8500,9000,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,32,49,-1,-1,-1,-1,-1,-1,-1,11,5
132379,So many of our people have been twisted and dominated by the Burning Legion. It's only fitting that we in turn use their own armies against them.,,,,Sin'dorei Spite,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,36,-1,-1,-1,-1,-1,-1,9,5
132381,The only risk is that you'll go insane.,,,,Streten's Sleepless Shackles,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,36,49,-1,-1,-1,-1,-1,-1,9,5
132393,It was always a wonder to outsiders how certain Vrykul warlocks managed to summon and command enormous packs of felstalkers.,,,,Recurrent Ritual,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,49,-1,-1,-1,-1,-1,-1,3,5
132394,"Whoever dons this hood gains unholy strength and resolve, but will forever lose all kindness and compassion. Beware...",,,,Hood of Eternal Disdain,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,3000,4000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,49,-1,-1,-1,-1,-1,-1,1,5
132406,"Contrary to popular belief, Kael'thas's favored, and usually final, utterance to his enemies was actually 'PYROBLAST!'.",,,,Marquee Bindings of the Sun King,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,36,-1,-1,-1,-1,-1,-1,9,5
132407,"Varo'then was madly in love with the queen. Unfortunately, he never had the opportunity to use these restraints on her.",,,,Magistrike Restraints,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,49,-1,-1,-1,-1,-1,-1,9,5
132409,"Why Anund was standing in front of Kaldrigos is anyone's guess. However, legend has it that Anund's final Shadow Word: Pain was key in helping Korl defeat the dread wyrm.",,,,Anund's Seared Shackles,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,49,-1,-1,-1,-1,-1,-1,9,5
132410,The draenei capital city is able to transcend dimensions and even warp time itself. What could a sliver of its power do in the hands of a mere mortal?,,,,Shard of the Exodar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,11250,6250,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,32,36,-1,-1,-1,-1,-1,-1,-1,11,5
132411,"Imbued with the power of the naga sea witch, your fingers inside feel frigid but surprisingly limber and highly energized.",,,,Lady Vashj's Grasp,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,49,-1,-1,-1,-1,-1,-1,10,5
132413,"Mages who wield as much power as Rhonin, a former leader of the Kirin Tor, often use arcane bindings to steady the magic unleashing from their fingertips.",,,,Rhonin's Assaulting Armwraps,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,3000,4000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,36,-1,-1,-1,-1,-1,-1,9,5
132436,"Ivagont fought at Kakushan's side, as he always does, during their massacre of the Stormscale naga in Darkshore. By virtue of his protection, they left unscathed.",,,,"Skjoldr, Sanctuary of Ivagont",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,36,49,-1,-1,-1,-1,-1,-1,9,5
132437,You seem a little tense...,,,,Mother Shahraz's Seduction,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,49,-1,-1,-1,-1,-1,-1,3,5
132441,Legend holds that the bodies of the titanspawn are so saturated with the energy of the creators that they leave behind fragments when the mortal host dies. This girdle is said to have been painstakingly sewn together from those fragments.,,,,"Draugr, Girdle of the Everlasting King",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,36,49,-1,-1,-1,-1,-1,-1,6,5
132442,The magic contained inside seems to be as endless as the Burning Legion.,,,,Cord of Infinity,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,49,-1,-1,-1,-1,-1,-1,6,5
132443,"Time and space are one. To a watcher of the universe, distance is nearly meaningless.",,,,Aggramar's Stride,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,2500,4500,3000,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,35,0,7,74,36,49,32,-1,-1,-1,-1,-1,8,5
132444,"Bearers of this amulet whistle a haunting tune, and those nearby attest to a distant cry of anguish between the notes.",,,,"Prydaz, Xavaric's Magnum Opus",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,7000,7000,7000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,65535,0,7,49,32,36,-1,-1,-1,-1,-1,-1,2,5
132445,It is said that this once belonged to the original Val'kyr.,,,,"Al'maiesh, the Cord of Hope",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,2500,4500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,36,49,-1,-1,-1,-1,-1,-1,6,5
132447,Bearers of these trousers often go above and beyond the call of duty.,,,,Entrancing Trousers of An'juna,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,36,49,-1,-1,-1,-1,-1,-1,7,5
132448,"Thought to be given by Razuvious to his most gifted acolytes, it is unclear how this band escaped the walls of Naxxramas. Could the Lich King have sent his own agents to the Broken Isles?",,,,The Instructor's Fourth Lesson,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,32,36,-1,-1,-1,-1,-1,-1,9,5
132449,"Phyrix was a legendary priest who led adventurers through Molten Core and Blackwing Lair. She met an unfortunate demise at the hands of Nefarian, but her spirit still protects Azeroth's champions to this day.",,,,Phyrix's Embrace,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,11250,6250,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,36,49,-1,-1,-1,-1,-1,-1,-1,11,5
132450,"From their humble beginnings in Silvermoon to the depths of Blackrock Mountain, Muze always remained steadfast, faithfully healing her companions and saving them from the brinks of death.",,,,Muze's Unwavering Will,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,3000,4000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,36,-1,-1,-1,-1,-1,-1,9,5
132451,"While Northrend's half-giants naturally know little to no magic, the mystic vrykul of Stormheim are masters of rune magic.",,,,Mystic Kilt of the Rune Master,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,36,49,-1,-1,-1,-1,-1,-1,7,5
132452,"Intangibility is a curious concept. The word suggests some magical ability, but in the physical world, it simply means the power to be here or there, now or later.",,,,Sephuz's Secret,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5000,12500,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,65535,0,7,36,32,-1,-1,-1,-1,-1,-1,-1,11,5
132453,Parts of the shambling horror Rattlegore still contain potent necromantic energies that respond to the will of those strong enough to command them.,,,,Rattlegore Bone Legplates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,3000,4000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,36,49,-1,-1,-1,-1,-1,-1,7,5
132454,"Deep within the vault protected by Wintergrasp, Koralon the Flame Watcher was furious when intruders entered.",,,,Koralon's Burning Touch,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,36,-1,-1,-1,-1,-1,-1,6,5
132455,"Magic must be regulated, managed, and controlled. But it must also be appreciated and valued, not hoarded. Such is the paradox that you must comprehend.",,,,Norgannon's Foresight,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,3000,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,400,0,7,5,36,49,32,-1,-1,-1,-1,-1,8,5
132456,"Viewed from different angles, there seems to be faint reflection of three different faces.",,,,Feretory of Souls,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,36,49,-1,-1,-1,-1,-1,-1,6,5
132457,Lethtendris constructed a device to siphon Dire Maul's overwhelming corrupt power for herself.,,,,Power Cord of Lethtendris,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,2500,4500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,5,32,36,-1,-1,-1,-1,-1,-1,6,5
